a_number,fco,date_file_open,last_name,first_name,middle_name,mother,father,aka_last_name,aka_first_name,dob,cob,coc,coa,poe,doe,sex,soc_sec_no,i_94_adm_num,passport_num,fbi_number,driver_license_no,finger_print_code,travel_document,ident_fin
A105356364,MPR,9162014,Zulauf,Ferdinand,Hettinger,,,,Orlando,2042000,IEPVY,AODPV,AM2 - SPOUSE OR CHILD OF AM1 OR AM6,YQW,12312016,F,143199584,94139106997,V800LE49SHJJ209VQRKA,S0Z8LJ6BOFRQ,Z2TTLEG6Z124VS3AUT10,MDINEPMIVGJVXOFYSGSB,AHEDJTZZFPQTGBZKFFVO,5725635
A338590292,RHS,11242015,Glover,Alphonse,,,Curtis,,,12032000,KEHQX,KEQJA,XA - CH B SUB TO ISSUE VISA TO PAR,HUR,10102017,F,642874715,63928494755,YB8J0P1X15DXP9LEJJ1R,8XEK96EGZ4WT,RMFDNLU2Y4EZT772REB5,RASELLFRCQTHUUOGGFFK,GFZXZGZFOOMNWKOWHFIR,6549
A258411574,WTL,7142014,Osinski,Jackson,Jerde,Retha,,,,2081997,MHIAW,OAWMW,CB6 - SPOUSE ALIEN GRNT LEGALIZATION,XYQ,11112016,F,688538183,72598181116,B8NBR4P631GKB6CK6GDH,KLNMQ9M28HVC,Q63Q8EMJ8WW2ZD8TKW7U,ORAWAXUHIBOUZFCKARUS,VTLDEEUYMUPPSSQTYDSV,215934
A414108265,UMF,2142015,Schulist,Corene,,Susana,Carter,,,10021949,CEBUT,FFWEJ,C2 - ALIEN IN TRANSIT TO UN HQ,NCP,8132020,F,769171356,57686778856,GX4Y38XWP9HLCW586BH0,4WPH250BLJ29,49502BNCO4VKREFIK9QA,TWPMEAVVFKUXHZBRVWCZ,QCITUTRITEZJQFIQDELG,83509205
A382785124,QKL,6042013,Grant,Mee,,,,Dickens,,4021942,FEIVK,TKYCS,A48 - CH OF A41 OR A46,NJW,5182018,U,721452448,11472754197,AOJQ51YEC7LL3YYXX8H1,HXRN630S3Y3G,M26CJSFTVA7IB3L6QFNJ,DBAQGRFMMETDYMPBGBYR,EUORUGDDJUKHQQBSXCNW,850571720
A361634964,AXJ,9012012,Glover,Selma,,Nikita,Earnest,McLaughlin,,11261959,CHMLP,ZKESN,E18 - 203(b)(1)(C) MULT EXEC/MANAGER,MXJ,12182014,U,345964888,13439986682,HFPICB4I0D0CF6G32JE7,WOBDO790U1MR,MJUJZOLR3T60CE4M6Z5S,AVHJMFYSBMFGYOLVIKXP,UHQZCWXFGHPTQOJQKKIU,9611025786
A664324001,ADI,4162014,Bartoletti,Judi,Kub,,Leonard,,,10091987,CLYYX,AQDJI,E17 - 203(b)(1)(B) OUTSTND PROF-RESC,YZR,6022016,U,105120708,77228737453,5ESA9OZ27WESUALH5267,NFZLW38GR60Z,T5PSSUPQ5HXLI943LYWO,HQVNRQIDSVZBLKHVHJCS,SWFEPEGVGDWXTNYVKMXH,6228943
A721253076,JFB,12122014,Ratke,Jasper,Padberg,Desiree,Aron,,Shari,4212001,ITXLD,ZJXSR,6A3 - NONPREFERENCE,PFD,10252020,U,369956679,31740091921,CFWIGM9QOXV1210DKGO5,9FTXSW58AURR,BA3ISESTXH6K01RW6ZNR,OGPPQDKZAOHUDWIGCKSB,RYTUSYCCDVDCRZIDGXZM,6198357
A751471481,HAS,11032018,Kris,Ricardo,,,Billie,,,9151963,MVDYR,EQYBZ,A11 - 203(a)(1) UNMRD AM S/D OF USC,JAI,1022013,U,665902858,14832839019,BGD9UQEEX45EE82RADCC,6F1CMKB9MTJS,Q3YEB9XOAPYL2JBZ508J,JQZTTFVOCPYKXEIJVUQH,RTJXBRLPUOMNHLIDWAOG,898811827
A407178265,ZZO,10152015,Smitham,Teresita,Maggio,Laronda,Sammy,Murray,,2131946,ULHYS,AQIEE,B38 - CHILD OF B36,IGC,11272011,U,932070885,57534162127,93W6XYFHJPI0K86NG3TG,67KEFM478G3O,9A10CP4L75CBNRJWJDJS,QDPNVNJADWCJDKCDKBMV,SYTUAXVWYOWPSIRAFCDG,32366857
A187673115,MYD,12252013,Bartoletti,Una,,Elinor,Kraig,,Merri,11091993,TKOGC,QNJTD,G4 - OFFICER/EMPLOYEE INTL. ORG.,DUD,12212019,M,832378575,21786835008,QSOAA8ES8S10DAVH5BPR,LVY38ZIF37CJ,X9NIP426LBLRLZG85FD2,EXNOHLCECZSNKUXAUBDT,EYZKYGBJHDCWAGDFITHJ,9641701100
A485552869,FEG,8202017,Bogan,Homer,Prosacco,,Robt,,,4091948,NVRZH,CWZQE,DV8 - 203(c) CHILD OF DV6,EGE,12082013,F,864803892,74913010997,6Q9JM7OP3W5JSALWG2DN,ZS22FZHO4I3U,VUWSWX34T26RI3YID7VS,UWKOWPFRDFEWQJSQSXQX,EHQXMJAPVCRLJEAXYDDC,96075184
A202380434,LMN,11152011,Waters,Freddie,Carter,,,,,2261944,BLBVF,UAHWS,6A1 - 1ST PREF REF ACT OF 1924,YHW,6252014,F,945055194,12972174483,44E3SDAZQZNJ0QYNJZV3,TZJ2K5S0CQTC,W91F4S5M16DCD5YGVZGP,QMYVMDTFMXLTTCHRHRTL,ZWSINTUDWJFGFYXHGKXF,7039
A250960519,GJC,10092014,Ritchie,Isabel,Jaskolski,Noelle,,Gusikowski,Claud,11041942,WYVUW,ACLSF,P21 - 2ND PREF SPOUSE OF ALIEN RES,OOB,2152016,F,548668423,92667817172,OFKD95MZ15IZF5CFK203,IXW698M1OWW1,B0DQZ14CNQ9D7OHYLL9Q,QNXEATSULAATMBSOSXTT,IWBVENFBTISLBGVZZVXN,4350
A123372681,PYX,8152020,Moore,Milford,,Chan,,,,4081957,TWNIP,PPWZR,FX6 - 203(a)(2) SPOUSE OF LPR EXMPT,SCD,7132018,F,521666213,43638359127,CVDV36T2GI5NUPL5R02J,RSK1A3UY3DAQ,6P78R1D5IRLQAO0SJ8MR,ZFJODLAPRPJGTJEAAIHZ,VCUAEFGFRMKIFWMEUCIG,5136711276
A546715715,TVX,2252013,Grady,Geraldo,,Kristian,,,Isidro,11021951,CVXZA,UWYQB,T5 - UNMARRIED UNDER 18 SIBLG T1 NI,SOT,12272014,F,146085412,20369695046,8MWR8WSH9FU7S98I4GOY,3DI2XDVQRWQ7,KA25TY05Y90O4OZFHMO9,LCJUZMUCFPICDCCZBWTM,QTLFAZAUGRTOZNNWRFXG,448387653
A825357008,AUY,1132017,Homenick,Raymundo,Kub,Meryl,Collin,,,2171946,CVAXR,PEOSV,SH6 - FORMER EMPLOYEE OF PANAMA CAN.,MPD,11022014,M,972670578,38120088493,SZXIEUU06EZ12ZLO8PP5,DCD544ZCKT98,NV0LA1B4FTXPGZM8F66B,NLUATQZNPINQGNIITOEF,RWVDSLVMIBRKVHTGPORW,4647
A848013666,RJY,4272018,Ziemann,Elfreda,,,Florentino,,Hal,11161952,YWLQI,COOPQ,DT1 - SEC 134 DISPLACED TIBETAN,GIL,2242019,M,237554463,46028132978,YKTH0V17RT8153QK5H2M,FR77ODU0ZOF2,BVH2WYXM350RCMJLB5UB,HJASXQPQIMLUVXFYYTEK,DTQVSIHUNUPPKYOSKVOO,226343
A961452498,SNN,8042017,Torp,Yong,Russel,Sherrell,,,,10161972,TZOGC,WWKLB,SI6 - SPEC IMM INTERP-PRINCIPAL ADJ,XNH,7122016,F,640378798,78332718867,X7XC0I3F3SAXWRM62LOJ,U1EPGU15H5TB,Q9A4OLCCDVXE0UL65TNK,FEPZUZBBZEWZNRYUCSEB,TZCRIMMURIBOOEYJOHDV,8950586
A636577677,SCA,8202019,Ledner,Brett,Ferry,Sandi,,Roob,Tashia,11021941,KHWYD,KTEYV,EW5 - 203(b)(3)(A)(iii) CHILD OF EW3,CQK,8262020,U,388858749,59283305975,6168ISQPGTMUJTBY94UQ,2QX65YFLN6PJ,I0R67L1CERIW1AA8J60C,TODEOAIBZIUBZZFFRTOH,KMIQSVSGDYZQTIAQBRBM,7532101
A633372376,PZW,1012014,Hammes,Emmaline,,Berry,,Ebert,Jackie,7021996,QBXGA,VDZIT,Y12 - FAR EAST REFUGEE - ASIAN,RFY,7012012,M,182146814,40070632436,61SK72URXA4AOS8WA02A,HG4VD8JRKL3P,UXMDU079DV9FT8665JNQ,GCZZLVMEVUSNQMHJEVAO,AJGJHGHDFTBTGBHWBJBJ,67801
A614827920,VUJ,9152020,Parker,Rudy,Kilback,Virgen,,,Elizabet,12141983,EXSHY,VXTGO,W46 - LEGALIZED ALIEN ADJ LIFE ACT,UMO,1182015,U,170867676,39008152112,KGPVFR9FG0Q4OLFV3N3A,4QVVK23WB1HY,9ZJ2D6VFTYKW0O2N7QSZ,ERCEHEQMHBOZRMDJCXCO,JXILAPTLQSYMJCJKBZCY,612035
A682775886,FJE,6192012,Konopelski,Dwight,,,Damian,,,2101984,HDDYV,MKJVZ,F47 - 203(a)(4) SPOUSE OF F46,IZQ,1012018,U,300365981,42144283137,8UGUH47GJC068OX2WZCX,04VXJ0SWDM0H,0J5CV1Z6KXTI7YBJXZ2Z,WWGUSADPPROZGAXUBZIV,BCXEEBRASSFKOCQNNSPS,3270
A376230438,MID,9252019,Conroy,Sebastian,Barton,Lashawn,Sid,Bashirian,Tresa,4281998,PGVPV,JFRNK,P36 - PRO/HIGHLY SKILLED IMM,JDP,1142016,F,781844349,61351843383,FRC8602MJ7KMB1KN9LTK,P76HFXD8JEO0,LWVDAQCHEJE6IFF4Y452,BTSONJEAOOZCIPJVSWOL,BMQJVPPEHWNXETWRRDGC,988071
A584328753,ELV,5032015,Langworth,Tawanna,,,Joshua,Weissnat,Marian,12221938,QIMWU,ZNMVM,DT1 - SEC 134 DISPLACED TIBETAN,EOV,12142015,M,952551417,17726352186,9C3MB9H4IZAQSZV8HZ1J,8DSUCFW4K0BL,3X3J9MC7TGD4FJV4GH8M,WDIZNWZLTHXSYDYMDHKZ,WESEMIOKRXMUFGUZUMVR,26784395
A876368407,XJS,1262015,Kuhn,Raymon,Gaylord,,,,,4181992,UGJXC,JVXEM,"BX3 - CHILD OF BX1, BX2, EXEMPT",SJB,9092019,F,843340615,36993251317,D31DQJAQU0Y2O2GU4DI2,BAI5RBWIW6W4,BBCOF326T57AQ6LY02XR,IHGZOWGNPOFVRAGQSJLO,FFLDTOQYQTJXPMBOBACN,14877150
A628277000,WZA,1122020,Cummerata,Joshua,,,,Harvey,,8061973,ICHMU,JJUJD,N1 - ALL NATO ADMISSIONS,PRC,12152013,F,326023375,78101816029,32N2UMFDFYIX0EU6D6DD,DZXRTL7L9A0I,SV79UHYF0YU4FLY2JY8P,KTWOANVJVSVKQZSGGIBY,AYYKDPRAZVXPIUJMCRTC,489112
A584190603,HTO,10042019,Nicolas,Beverlee,,,Horace,,Philomena,4141969,WFWLX,RKVHO,K2 - CHILD OF K1,WIU,10172015,U,368078116,88229471506,PKMDMH8VDJY266U8E92M,G4P3YMHRYZF2,B9ZY39W0JN4WWD02EPJZ,MHPYGLXKRDRTPWHGSAER,TPWWOHISKACTLTCFONGE,3119500709
A620946509,DJN,6302018,Weimann,Willard,Brakus,Genevie,Phil,Waters,,4121935,MBMJC,EDFNU,"E34 - 203(b)(3)(A) SPOUSE OF E31,E32",EYB,6262017,F,104017989,18092879072,2J3UDJSXUQTQ1D42KFT3,VWG733DS68IR,LU4F62FF9XO5Q7409IBG,YOGQEBEVJTWTANHZAWGQ,ZBRGETYMSLLAMUXCEIQE,372895
A698544398,WJO,3102016,Trantow,Susy,Stracke,Jeffie,,Weissnat,Neal,6021943,IYHME,QRJXR,ST7 - SPOUSE OF ST6,XYF,3012016,U,102725786,31474120689,X64TWZ4X6I72UGMNAFAJ,ONADO184VD9F,TP74YTFTW5FAMHL6UC34,VOYJYGKPOZQGGIFVZVTO,TXXPVUWKAOFPMGYIZQGS,560919
A671955343,EOC,9262015,Johnson,Trey,,Nichol,,Roberts,Jesus,3141982,RKXSZ,XWHVQ,R1 - RELIGIOUS OCCUPATION,BJT,5162013,F,553390621,59176712294,W4SAE4HOJ8XMI9TN3I8Z,0RZULL47P5Q7,B2XKC824RGUHM5G4AF2B,UIBEPPYBMQMEDJDZAXBX,TIIUMQVGROGUVGLTFVCB,8419
A231791409,ZAR,2172013,Swift,Emilio,Emard,Shena,,,Willy,4041958,ALAQZ,CMBMJ,K4M - BEN 1ST PREF PET APR P 6-1-58,LDV,12212016,F,808337640,26987251256,5Z5DYDIJNK2ATP1D911T,TH1PIZPT3F8N,8KH5FBEHOY17DA9F6EJT,QGTQYPPDXOLVKQZRXMQN,CGRYXAEBSXCRXZGRESIR,99821
A512146952,EAI,5212015,Stiedemann,Meredith,,Chantel,,,Coy,4101988,BZACT,NDRCE,O3M - CHILD OF ALIEN CLASSIFIED O1M,EBY,11072015,F,114818404,81793272691,9231XOIJPE7IZ02PATZ7,7P4MKAJ794VL,7XL85AR5H7TD494KOMJM,TUBJSHEYNQTLENZBLQHY,VWTMJPYYVJWPLSFTKMOW,853150358
A960357074,WUK,4212014,Ankunding,Margrett,,,,,Troy,12221951,JJQSK,LDNBA,IR2 - CHILD OF USC,UYM,12292018,F,375619235,69024161116,QKK9TGRDQ65HDM2A1BI8,H6PKYSI22SKK,3MUYGHH27D5A9T42NMH1,PIRCSMWLMJPLLYFUZLMM,EFTUJZOMYAHYWROBZBTI,6219924
A492196166,TOL,12012018,Dibbert,Li,Dickens,,,,Viviana,10151967,JMUCV,QNKLT,SN9 - SURVI SPOU OF NATO6 CIVILN EMP,YYF,12262012,U,274059143,45704181121,VL4UGFCQ8605JDXYX1N7,W8MQQZ89JIBK,QPSU3LVAC2G394I3RZIR,BVRJFCCDIRKRIDKIYEOT,ICNNOBQTFSSTSHGLWBUJ,85259
A389404513,SMT,1222013,Wyman,Chante,,Kathryne,Jean,Crona,Jeremiah,12161986,MZFNY,HYYBS,KP4 - BEN 3RD PREF PET FILED PR 7/61,NZR,4282019,U,760671156,74123604764,864NLELKY1K5GNIDCISZ,7I7A9TXM3XY0,5XN9ROR0Z69WMZOWI4T8,FXTSPIJZRPZZWDCGCIYO,QGJMLNDYXGGFPQDKTVIM,7018388
A256829284,HEG,5162013,O'Reilly,Cari,Skiles,Rickie,Ernest,,Dayna,1071992,HXBEA,PCIPP,F32 - 203(a)(3) SPOUSE OF F31,ZFG,5272018,F,789400609,35549787557,D1TDU5GW2IZSA0OV0UH7,JDY3V1EN3QQ8,4LUEBA7JOT8CJYHJI3Z0,ZZJSTEKGUTITNRWCIBYD,HQOCHBBUGUADVNHPOHOH,81261316
A920347175,YWD,6062017,McCullough,Belia,,Basilia,Edmundo,,Curtis,11091978,USOSN,JQSQS,M2 - SPOUSE/CHILD OF M-1,BLA,8122020,U,822153520,99506137034,Q14JA5OX9RJE7S016VCY,55EIIOW0HBEA,J25ZI67HMCIIO7EU2PT1,EYDKVMTXFURYBQMVXTXM,NHBIWEVYVYJYLRCBISAW,3405478
A341358904,TCX,7152012,Armstrong,Annelle,Hettinger,,,,,2171949,JDOEJ,HZZMS,Y2A - RECENT HUNGARIAN ESCAPEE,XQS,11112013,U,498685442,37358512956,UU0P8ETU3TWJ8LQBIBF6,JFJOD7YJU9M0,51H90GZQQ0NQSCABE8S7,IEWOXVSEGGQUBSJVKETL,TSPLERZDMONFHGVNOBMQ,34963551
A891604790,LNS,6152015,Connelly,Lennie,,Shirly,Rolland,,Nakisha,6091990,YUXPV,LMXTO,"E35 - 203(b)(3)(A) CHILD OF E31, E32",YAR,3072012,U,827725129,53205175901,NI75EL3XBUQ3NH71US5E,FWGB0N51AWO4,HWV2SGG28EOF0JG7HDS4,FRRCCLHBDOYEBFHTBVZE,HUJICOXVSDUHMHNRYYVJ,282360
A530960940,GSB,8182017,Prohaska,Teodoro,Goldner,Latoria,Terrance,,,2091998,IOMYV,DWXJY,A42 - SPOUSE OF ALIEN CLASS A41/A46,ATG,5312016,M,645655841,51984264367,FCUUBQD17JF2A60AN9VG,LFCKF46XRT9R,O1B91WMII8GO2B1LXY3X,URVVIQIFQZVRTIRFBUYH,LCYYNJRFQSSOXXPECBWL,718973031
A170569695,UNC,2132015,Gerlach,Clora,Bauch,,Buster,Morar,,2071960,FFVJR,ZOQAG,B38 - CHILD OF B36,RQM,12182015,F,135980589,79077804909,HLMPT1LLRO0D82LA6E84,J6BOWS9U3FTG,7HQR4TP2DFUP16V2EDMR,YGWWYLCIZSAZZRNWKDJU,ANWFKIPDNBQLFQGDRMCO,2638338535
A990996961,JYD,6162012,Reichert,Tanika,Roob,,,,,4131951,EGWLE,HEPVL,SY7 - SPOUSE OF SY6,RGA,8182020,U,811436672,15479364486,2IKN48ZB8IPNIDT2WF43,VR3PX6S3QICZ,QBW0BO7AQV6R31UB6FEN,GVJUDQAGGRGUAWNWXSIF,LABGCEKAWZDHSBMFDBKD,8717595576
A373686965,EXL,4232015,Abernathy,Blair,,Khalilah,Dane,Casper,Pamala,12181941,ZXAOW,MXZYM,C46 - COND-ENTR MARRIED STEP-CH US C,SFE,9192017,U,591676284,84810808324,M2YZCG463MJSYIN7G0SV,9NW5D60PAAKQ,STEWM7YFOUY365QC6WVA,RHHNBPYWARBLOPCZGKMR,PCEDRESKBPCARYQUKBQL,199616889
A977469534,WQD,4142018,Bechtelar,Cortez,Mueller,,,,Darrin,3121954,GSUNS,PSBBA,W26 - 245(a) PERMANENT RESIDENT,THU,5122019,M,694949033,29220715796,2YP5OPYSUXZZGZ5JV0F0,BFBW779IPTIA,09HLHF4VQCKN1HQ6F3UH,QXKUULGVJXOFAAZNAOXF,TTISAKSQFBLPEEMOGPJZ,9836385500
A328972140,TVJ,11262014,Smitham,Brook,Padberg,,Ricardo,Cummerata,Fern,3171968,CKLKJ,IBVNU,A46 - MARR CH OF CITZ B. IN ASIA,TRX,4012016,F,841286995,73475187310,M4SSE3ANC70CDJ6OE4VF,C23LET6OGS3Q,7E4N0BCTFLAXV4PQV77D,SFKCHZGGVXWAVMBHIZOH,PEGXPZAMDQCVRWTQLLLI,4823740
A417930273,LMA,8242020,Grimes,Ervin,,Jeanene,Luther,,Sharyl,11061940,XUTOQ,BAAFA,SC1 - LOST US CITZ BY MARRIAGE,UQB,4082018,U,152037983,23449503996,M5HDUGWHCG86WM42LHTV,5KXFJEYP7N51,YL4JLJD2KIO0S72C74RP,FKPNLBXFAYYECYRFTLYI,CVZXFYGNREJSONBQTXUW,66368
A429145859,GGV,9062014,Blick,Kaitlin,,,,,,11011972,RFDDP,TKQTF,H3B - SPECIAL EDUCATION TRAINING,FCU,8292020,M,810898811,54146520489,K56H3A1G8G7W01WHGAHU,87VH5QYNUBYK,J0RJ3ZIXW49AJB8C6KJR,VZBRTZGGWMCRSMDVTTYK,OAAQIZEGNAEABMCRJBVR,9882646
A219370039,EFF,12172011,Lesch,Carma,Wilderman,,Jewell,Bashirian,Michiko,9011995,CONHZ,ARFDN,MI3 - NOT TT CITZ-CONT BEF 1/7/84,LKJ,11062011,M,211023905,99309882581,K6EFB822VEWP62PNNGHH,8EMEA1AF31EV,71IJC7VA6Z7G2ONCSN1H,QTYSFTFEDIXXGQSPQXLH,UNDGDXKUTWWAUKNJOTME,2831080528
A200846913,ICX,6032019,Ullrich,France,Beier,Araceli,,,,11141994,BCYTM,DDWFN,P53 - CHILD OF ALIEN CLASS P51/P56,KRX,9192019,U,652980058,19269665685,TH2K24ZH9UXQNK61J05G,5V1E8R8V6DFG,0GV718ZPLFO3OLAWZUJL,YWOKDBBZZQAHUCJSCBZG,SPIHFNZCEDNUFQVOIBYP,8473
A832522808,WTL,12182013,Schuster,Nan,Durgan,,,,,8241962,YYGNQ,NEWQX,TB - SPOUSE OR CHILD OF CAN. FR,UBK,11302017,F,190107190,82320883967,H8N2NEF2XIIXPNW4E97Q,EED1K4K97NIC,XQ7F3IIC9LS75WMPFSAZ,GOMXRFJUDYFOIRPXKYCA,JIWHRERKBIQTUUWRVOXF,5341524
A293668582,CXZ,3232013,Kemmer,Greg,Cormier,Camille,,,Robbin,4251935,GYJMC,ZAGXG,IR3 - ORPHAN ADOPTED ABROAD BY USC,SIB,8172012,U,257368100,29410466120,J1XX4HYQJX6M7RJ1H7N0,2D1BHCM5CFB2,D6T94M2E9YVPBBB4YH3J,VGEJERDTURXZYALLVVJD,TKUTJCEIXXUIESBLSJYK,3992
A703410595,GAX,3012017,Hayes,Kemberly,,,Mitchell,Batz,Len,5151988,UDTCS,IIOEQ,Z33 - REC ADM PERM RES PR 7/1/24,RFR,4182015,M,162997482,91128094198,0SBX2ZJYSK1XCC12W471,1XVU5PXIFI2L,HZ62NTWP6RHUZL36ORSY,IFMDAPYGTUUWSILHNGNH,UZKHUUASSDYXJLDKJEPY,3578
A870376032,UQC,4262014,Gerlach,Hallie,,Brande,,Lesch,Yahaira,10261957,ZZEJW,UVRBY,P71 - 7TH PREF COND ENTRY REFUGEE,MCV,12142014,F,633984017,41236723336,5EN4S3PTX3SO26IYZT6O,D70M0H1TU3VD,09TTVJGYI38IEK4UZMIH,IONHAEIXAICYXMNANAYU,MBUHEGNNYQSEVOKGGDMB,537195203
A732374974,TOH,9292019,Schumm,Miquel,,Celesta,Nelson,Haley,,3271984,JTMEP,CMZGP,SU7 - SPOUSE OF SU6,BHR,11042011,U,511118893,44764815333,9XKQB8V3NX1W3A3CS8I1,GYX8RXLM465G,AXSW578I9OACZPU9L5ZF,BZMNCDKFRNLOXRSGAUAV,OKTDYRAHDPBLVSCOSYNV,2210555303
A694776295,ODV,6182020,Rath,Kirby,King,,,Bartoletti,,11291933,HUFGW,NPNPU,SF2 - ACCOM SPOUSE/CHILD OF CL SF1,DKC,12172018,M,638778943,51395915100,13VQ315CX0W1NYPUC4PR,V2PAOS394K0M,NQYA56S92GPI7SL1NU3P,YGGEUWNDVXZKIGYIILSH,FYRPQJAEPRXAHOZKDPTU,23222
A259615651,HAG,6052014,Konopelski,Sean,Hyatt,,,,,4251940,HWHLL,GXSMS,"A3 - ATTENDANTS OF A-1, A-2",YEQ,11302014,U,880474049,31474421753,50RTJ7PLOI86O1XGGI8V,Y9DZ94QLD1KN,M691VK3U6VFP425GZZ2N,PVALZMSYAVXSWEBMCYQM,IYVSGBLCTUAQFUFVPPMP,18936274
A834510657,MJF,10032020,Nolan,Dorathy,,Shea,,Krajcik,Fermin,5221968,QYMBM,DDMOR,P68 - CH OF P61 OR P66 ALIEN,BRL,10082018,M,917031990,10683808758,7M8OKB21G1YS9HNO4NSQ,PRD1AHZYG21V,JC9WH2U099B25NVVUEZ9,QGNLRADTKKFKVWSBZJVG,DSRIERYGESGFZNMRCNWN,54112196
A794781030,KNO,5152016,Volkman,Dean,Crooks,,Malcolm,McDermott,Lyman,4121948,TLMDK,JXHYY,"ML - PAROLEE-MEDICAL, LEGAL, HUMAN",LPS,12282013,F,189897621,34211852492,EERJ3JGG1RG7V1Z6VZ19,LTQECP30NRX7,F484IUFAB8UXB2DIRG0J,WAASDXAONXBWDURAQWUD,DKSTOHJYDCTHBKFSCRGN,45383566
